image_path,label
D:\Downloadf\gestures_resized\gestures\01_palm\frame_06_01_0018.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_00_04_0027.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\WIN_20260217_22_14_26_Pro (4).jpg,Palm
D:\Downloadf\gestures_resized\gestures\02_closeup_fist\WIN_20260220_19_16_40_Pro (2).jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_17_23_36_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_00_10_0198.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_09_03_0081.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_04_03_0176.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\WIN_20260217_20_44_54_Pro (2).jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_01_03_0190.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_09_08_0023.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_07_10_0198.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_07_10_0199.png,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_08_08_0012.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_08_04_0186.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_08_03_0032.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_03_01_0063.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_09_04_0017.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_00_03_0123.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_05_08_0186.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_22_10_56_Pro (3).jpg,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_00_08_0001.png,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_06_08_0167.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_07_01_0018.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\WIN_20260217_18_25_14_Pro (2).jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_18_15_41_Pro (2).jpg,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_00_04_0139.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\WIN_20260217_18_19_57_Pro (3).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_02_03_0041.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_20_09_21_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_01_03_0192.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_19_15_01_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_01_01_0021.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\WIN_20260217_20_30_28_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_05_03_0123.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_03_10_0192.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_01_10_0050.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_21_52_19_Pro (4).jpg,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_06_08_0021.png,Palm
D:\Downloadf\gestures_resized\gestures\02_closeup_fist\WIN_20260220_19_16_05_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\WIN_20260217_20_18_56_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_03_10_0150.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_00_03_0161.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_21_50_27_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_04_01_0142.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_06_01_0166.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_06_10_0137.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_02_10_0102.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\WIN_20260217_20_30_49_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_05_10_0153.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_00_04_0174.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_06_08_0197.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_17_23_38_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_20_01_30_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_04_03_0156.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_20_35_52_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260220_00_01_23_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_05_08_0189.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\WIN_20260217_18_17_48_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\10_down\WIN_20260217_20_32_08_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\10_down\WIN_20260217_20_32_07_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_08_03_0027.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_04_03_0068.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_08_04_0192.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_00_10_0075.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260220_00_02_41_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\Right\frame_09_03_0151.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_07_08_0051.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_02_03_0196.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_00_10_0037.png,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\WIN_20260217_22_18_22_Pro (4).jpg,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260220_00_02_35_Pro (4).jpg,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_17_31_13_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_08_10_0037.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_00_03_0053.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_04_03_0184.png,Fist
D:\Downloadf\gestures_resized\gestures\02_closeup_fist\WIN_20260220_19_16_47_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_19_12_12_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_03_03_0035.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\Right\frame_09_03_0044.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_06_08_0001.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_05_10_0009.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_09_03_0178.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_20_12_30_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_00_10_0088.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_21_39_12_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_03_03_0115.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\Right\frame_09_03_0015.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_03_01_0171.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_18_01_34_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\02_closeup_fist\WIN_20260220_19_19_28_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_00_10_0097.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_08_10_0028.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_05_10_0037.png,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_08_08_0124.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\Right\frame_09_03_0088.png,Fist
D:\Downloadf\gestures_resized\gestures\02_closeup_fist\WIN_20260220_19_17_32_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_21_52_25_Pro (3).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_01_03_0133.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\WIN_20260217_22_19_36_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_04_03_0035.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_00_04_0039.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\WIN_20260217_20_31_17_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_22_10_51_Pro (5).jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_00_03_0106.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_04_10_0017.png,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_07_08_0174.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260220_00_03_56_Pro (3).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260220_00_09_05_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_00_01_0168.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_00_04_0057.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_06_03_0151.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\WIN_20260217_18_18_30_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\10_down\WIN_20260217_18_17_50_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_09_01_0161.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_04_03_0155.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_07_08_0156.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_05_03_0138.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_06_08_0073.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_02_03_0165.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_07_01_0044.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_21_52_19_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_01_04_0081.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_19_12_15_Pro (2).jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260220_00_09_16_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_01_10_0177.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_19_14_57_Pro (2).jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260220_00_10_11_Pro (2).jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_04_01_0013.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_02_03_0062.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_05_03_0145.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_00_10_0029.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_09_10_0003.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_03_01_0194.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_08_01_0054.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_00_03_0082.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_21_52_23_Pro (4).jpg,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_03_10_0046.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_05_03_0135.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_02_03_0161.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_08_04_0039.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\WIN_20260217_22_21_52_Pro (3).jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_02_03_0200.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_08_01_0164.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_00_10_0044.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_04_03_0040.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_03_08_0149.png,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_09_08_0018.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_07_03_0187.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_09_03_0180.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_03_03_0064.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_01_10_0169.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_06_04_0192.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_02_04_0200.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_09_04_0088.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_06_08_0080.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_03_10_0125.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_05_03_0054.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_09_08_0007.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_03_04_0069.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_09_01_0159.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_01_03_0095.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_08_03_0079.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\WIN_20260217_22_19_37_Pro (3).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_03_03_0164.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_07_03_0002.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_04_03_0111.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_03_03_0045.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_04_04_0002.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_07_10_0015.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_06_03_0002.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_03_10_0128.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_06_03_0107.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_02_03_0035.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_18_01_29_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_03_03_0005.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_00_03_0200.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\WIN_20260217_20_44_08_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_04_10_0007.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_05_01_0126.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_20_36_57_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_07_03_0034.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_18_15_31_Pro (2).jpg,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_01_04_0016.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_22_04_30_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_09_03_0187.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_03_03_0038.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_22_05_02_Pro (5).jpg,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\WIN_20260217_18_35_53_Pro (3).jpg,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_00_10_0116.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\WIN_20260217_22_21_59_Pro (2).jpg,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_06_08_0007.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_00_01_0034.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_05_03_0020.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_00_03_0148.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_02_10_0193.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_05_10_0136.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_09_03_0137.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_02_03_0025.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_17_31_14_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_00_04_0053.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_01_03_0089.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_04_04_0018.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_03_03_0076.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_20_08_39_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_07_03_0024.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260220_00_04_07_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_02_08_0012.png,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\WIN_20260217_20_19_02_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\WIN_20260217_18_23_23_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_20_34_37_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260220_00_03_06_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_04_03_0186.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_21_39_12_Pro (3).jpg,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_08_08_0189.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_01_10_0170.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_07_04_0151.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\WIN_20260217_18_17_51_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_05_01_0179.png,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_02_01_0003.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_09_03_0107.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_05_03_0185.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\WIN_20260217_18_24_47_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_04_03_0090.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260220_00_03_22_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_09_03_0176.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_21_52_11_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_04_04_0027.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_01_03_0054.png,Fist
D:\Downloadf\gestures_resized\gestures\02_closeup_fist\WIN_20260220_19_18_55_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_17_30_52_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_06_03_0118.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260220_00_10_11_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_18_15_36_Pro (2).jpg,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_01_04_0008.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_06_08_0159.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_04_03_0082.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_09_04_0090.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_01_01_0040.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_02_10_0098.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260217_20_37_28_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\WIN_20260220_00_09_53_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_02_01_0071.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\WIN_20260217_20_46_39_Pro.jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_21_52_29_Pro (5).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_05_03_0120.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_09_03_0142.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_00_08_0141.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\WIN_20260217_22_23_38_Pro (2).jpg,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_06_01_0006.png,Palm
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_06_04_0006.png,Fist
D:\Downloadf\gestures_resized\gestures\10_down\frame_02_10_0099.png,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_07_08_0059.png,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\frame_07_08_0012.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\WIN_20260217_18_18_25_Pro (3).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_00_03_0048.png,Fist
D:\Downloadf\gestures_resized\gestures\03_fist\frame_06_03_0190.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\WIN_20260217_18_33_11_Pro (3).jpg,Palm
D:\Downloadf\gestures_resized\gestures\08_palm_moved\WIN_20260217_22_19_39_Pro (3).jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_02_03_0171.png,Fist
D:\Downloadf\gestures_resized\gestures\04_fist_moved\frame_05_04_0019.png,Fist
D:\Downloadf\gestures_resized\gestures\08_palm_moved\WIN_20260217_18_32_56_Pro (2).jpg,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_17_32_24_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_09_03_0120.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\WIN_20260217_17_23_13_Pro.jpg,Palm
D:\Downloadf\gestures_resized\gestures\01_palm\frame_07_01_0055.png,Palm
D:\Downloadf\gestures_resized\gestures\03_fist\frame_06_03_0154.png,Fist
D:\Downloadf\gestures_resized\gestures\01_palm\frame_04_01_0114.png,Palm
D:\Downloadf\gestures_resized\gestures\10_down\frame_05_10_0039.png,Palm
